Keyword,Ad group,Volume,CPC (USD),Intent,Match sugerido,Fonte,Observacao
traje de natação masculino,fora-da-campanha (observacao),260,0.00,"Informational, Commercial",Phrase,kw-manager,peca de natacao que nao vendemos
macacao neoprene,fora-da-campanha (observacao),210,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
maio masculino natação,fora-da-campanha (observacao),210,0.00,Informational,Phrase,kw-manager,peca de natacao que nao vendemos
maiô masculino para natação,fora-da-campanha (observacao),210,0.00,"Informational, Commercial",Phrase,kw-manager,peca de natacao que nao vendemos
maiô natação masculino,fora-da-campanha (observacao),210,0.00,Informational,Phrase,kw-manager,peca de natacao que nao vendemos
surf feminino,fora-da-campanha (observacao),210,0.00,"Informational, Commercial",Phrase,kw-manager,aderencia baixa ao produto
traje de natacao,fora-da-campanha (observacao),210,0.00,"Informational, Transactional",Phrase,kw-manager,peca de natacao que nao vendemos
traje de natação,fora-da-campanha (observacao),210,0.00,"Informational, Commercial",Phrase,kw-manager,peca de natacao que nao vendemos
traje natação feminino,fora-da-campanha (observacao),210,0.00,"Informational, Commercial",Phrase,kw-manager,peca de natacao que nao vendemos
acessorios para natacao,fora-da-campanha (observacao),170,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
calção de natação,fora-da-campanha (observacao),170,0.00,"Informational, Transactional",Phrase,kw-manager,peca de natacao que nao vendemos
macacão de mergulho,fora-da-campanha (observacao),170,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
material de natacao,fora-da-campanha (observacao),170,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
material para natação,fora-da-campanha (observacao),170,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
